,Private,Apps,Accept,perc.accept,Enroll,perc.enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Tot.Exp,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Abilene Christian University,Yes,1660,1232,74,721,59,23,52,2885,537,7440,3300,450,11190,2200,70,78,18.1,12,7041,60
Adelphi University,Yes,2186,1924,88,512,27,16,29,2683,1227,12280,6450,750,19480,1500,29,30,12.2,16,10527,56
Adrian College,Yes,1428,1097,77,336,31,22,50,1036,99,11250,3750,400,15400,1165,53,66,12.9,30,8735,54
Agnes Scott College,Yes,417,349,84,137,39,60,89,510,63,12960,5450,450,18860,875,92,97,7.7,37,19016,59
Alaska Pacific University,Yes,193,146,76,55,38,16,44,249,869,7560,4120,800,12480,1500,76,72,11.9,2,10922,15
Albertson College,Yes,587,479,82,158,33,38,62,678,41,13500,3335,500,17335,675,67,73,9.4,11,9727,55
Albertus Magnus College,Yes,353,340,96,103,30,17,45,416,230,13290,5720,500,19510,1500,90,93,11.5,26,8861,63
Albion College,Yes,1899,1720,91,489,28,37,68,1594,32,13868,4826,450,19144,850,89,100,13.7,37,11487,73
Albright College,Yes,1038,839,81,227,27,30,63,973,306,15595,4400,300,20295,500,79,84,11.3,23,11644,80
Alderson-Broaddus College,Yes,582,498,86,172,35,21,44,799,78,10468,3380,660,14508,1800,40,41,11.5,15,8991,52
Alfred University,Yes,1732,1425,82,472,33,37,75,1830,110,16548,5406,500,22454,600,82,88,11.3,31,10932,73
Allegheny College,Yes,2652,1900,72,484,25,44,77,1707,44,17080,4440,400,21920,600,73,91,9.9,41,11711,76
Allentown Coll. of St. Francis de Sales,Yes,1179,780,66,290,37,38,64,1130,638,9690,4785,600,15075,1000,60,84,13.3,21,7940,74
Alma College,Yes,1267,1080,85,385,36,44,73,1306,28,12572,4552,400,17524,400,79,87,15.3,32,9305,68
Alverno College,Yes,494,313,63,157,50,23,46,1317,1235,8352,3640,650,12642,2449,36,69,11.1,26,8127,55
American International College,Yes,1420,1093,77,220,20,9,22,1018,287,8700,4780,450,13930,1400,78,84,14.7,19,7355,69
Amherst College,Yes,4302,992,23,418,42,83,96,1593,5,19760,5300,660,25720,1598,93,98,8.4,63,21424,100
Anderson University,Yes,1216,908,75,423,47,19,40,1819,281,10100,3520,550,14170,1100,48,61,12.1,14,7994,59
Andrews University,Yes,1130,704,62,322,46,14,23,1586,326,9996,3090,900,13986,1320,62,66,11.5,18,10908,46
Angelo State University,No,3540,2001,57,1016,51,24,54,4190,1512,5130,3592,500,9222,2000,60,62,23.1,5,4010,34
Antioch University,Yes,713,661,93,252,38,25,44,712,23,15476,3336,400,19212,1100,69,82,11.3,35,42926,48
Appalachian State University,No,7313,4664,64,1910,41,20,63,9940,1035,6806,2540,96,9442,2000,83,96,18.3,14,5854,70
Aquinas College,Yes,619,516,83,219,42,20,51,1251,767,11208,4124,350,15682,1615,55,65,12.7,25,6584,65
Arizona State University Main campus,No,12809,10308,80,3761,36,24,49,22593,7585,7434,4850,700,12984,2100,88,93,18.9,5,4602,48
Arkansas College (Lyon College),Yes,708,334,47,166,50,46,74,530,182,8644,3922,500,13066,800,79,88,12.6,24,14579,54
Arkansas Tech University,No,1734,1729,100,951,55,12,52,3602,939,3460,2650,450,6560,1000,57,60,19.6,5,4739,48
Assumption College,Yes,2135,1700,80,491,29,23,59,1708,689,12000,5920,500,18420,500,93,93,13.8,30,7100,88
Auburn University-Main Campus,No,7548,6791,90,3070,45,25,57,16262,1716,6300,3933,600,10833,1908,85,91,16.7,18,6642,69
Augsburg College,Yes,662,513,77,257,50,12,30,2074,726,11902,4372,540,16814,950,65,65,12.8,31,7836,58
Augustana College IL,Yes,1879,1658,88,497,30,36,69,1950,38,13353,4173,540,18066,821,78,83,12.7,40,9220,71
Augustana College,Yes,761,725,95,306,42,21,58,1337,300,10990,3244,600,14834,1021,66,70,10.4,30,6871,69
Austin College,Yes,948,798,84,295,37,42,74,1120,15,11280,4342,400,16022,1150,81,95,13,33,11361,71
Averett College,Yes,627,556,89,172,31,16,40,777,538,9925,4135,750,14810,1350,59,67,22.4,11,6523,48
Baker University,Yes,602,483,80,206,43,21,47,958,466,8620,4100,400,13120,2250,58,68,11,21,6136,65
Baldwin-Wallace College,Yes,1690,1366,81,662,48,30,61,2718,1460,10995,4410,1000,16405,1000,68,74,17.6,20,8086,85
Barat College,Yes,261,192,74,111,58,15,36,453,266,9690,4300,500,14490,500,57,77,9.7,35,9337,71
Bard College,Yes,1910,838,44,285,34,50,85,1004,15,19264,6206,750,26220,750,98,98,10.4,30,13894,79
Barnard College,Yes,2496,1402,56,531,38,53,95,2121,69,17926,8124,600,26650,850,83,93,10.3,33,12580,91
Barry University,Yes,990,784,79,279,36,18,45,1811,3144,11290,5360,600,17250,1800,76,78,12.6,11,9084,72
Baylor University,Yes,6075,5349,88,2367,44,34,66,9919,484,6450,3920,600,10970,1346,71,76,18.5,38,7503,72
Beaver College,Yes,1163,850,73,348,41,23,56,878,519,12850,5400,400,18650,800,78,89,12.2,30,8954,73
Bellarmine College,Yes,807,707,88,308,44,39,63,1198,605,8840,2950,750,12540,1290,74,82,13.1,31,6668,84
Belmont Abbey College,Yes,632,494,78,129,26,17,36,709,131,9000,4850,300,14150,2480,78,85,13.2,10,7550,52
Belmont University,Yes,1220,974,80,481,49,28,67,1964,623,7800,3664,650,12114,900,61,61,11.1,19,7614,49
Beloit College,Yes,1320,923,70,284,31,26,54,1085,81,16304,3616,355,20275,715,87,95,11.1,26,12957,69
Bemidji State University,No,1208,877,73,546,62,12,36,3796,824,4425,2700,660,7785,1800,57,62,19.6,16,3752,46
Benedictine College,Yes,632,620,98,222,36,14,24,702,501,9550,3850,350,13750,250,64,84,14.1,18,5922,58
Bennington College,Yes,519,327,63,114,35,25,53,457,2,21700,4100,600,26400,500,35,59,10.1,33,16364,55
Bentley College,Yes,3466,2330,67,640,27,20,60,3095,1533,13800,5510,630,19940,850,87,87,17.5,20,10941,82
Berry College,Yes,1858,1221,66,480,39,37,68,1620,49,8050,3940,350,12340,2375,80,80,16.3,17,10511,63
Bethany College,Yes,878,816,93,200,25,16,41,706,62,8740,3363,550,12653,1700,62,68,11.6,29,7718,48
Bethel College KS,Yes,202,184,91,122,66,19,42,537,101,8540,3580,500,12620,1400,61,80,8.8,32,8324,56
Bethel College,Yes,502,384,76,104,27,11,28,347,74,6200,2900,600,9700,800,63,63,11.7,13,7623,35
Bethune Cookman College,Yes,1646,1150,70,542,47,12,30,2128,82,5188,3396,650,9234,2500,48,48,13.8,9,6817,58
Birmingham-Southern College,Yes,805,588,73,287,49,67,88,1376,207,11660,4325,400,16385,900,74,79,14,34,8649,72
Blackburn College,Yes,500,336,67,156,46,25,55,421,27,6500,2700,500,9700,1000,76,76,14.3,53,8377,51
Bloomsburg Univ. of Pennsylvania,No,6773,3028,45,1025,34,15,55,5847,946,7844,2948,500,11292,1680,66,68,18,19,7041,75
Bluefield College,Yes,377,358,95,181,51,15,30,653,129,7150,4350,450,11950,1500,61,67,17.8,3,6259,53
Bluffton College,Yes,692,514,74,209,41,20,50,760,81,9900,3990,400,14290,900,76,71,13.3,19,9073,58
Boston University,Yes,20192,13007,64,3810,29,45,80,14971,3113,18420,6810,475,25705,1025,80,81,11.9,16,16836,72
Bowdoin College,Yes,3356,1019,30,418,41,76,100,1490,8,19030,5885,1495,26410,875,93,96,11.2,52,20447,96
Bowling Green State University,No,9251,7333,79,3076,42,14,45,13699,1213,7452,3352,600,11404,1700,81,89,21.1,14,6918,67
Bradford College,Yes,443,330,74,151,46,5,36,453,42,14080,6270,500,20850,900,57,80,10.2,21,15387,46
Bradley University,Yes,3767,3414,91,1061,31,30,58,4531,643,10870,4440,2000,17310,1522,75,81,14.4,21,7671,85
Brandeis University,Yes,4186,2743,66,740,27,48,77,2819,62,19380,6750,410,26540,1000,90,97,9.8,24,17150,84
Brenau University,Yes,367,274,75,158,58,12,41,917,479,9592,5879,500,15971,700,71,80,13.7,12,5935,49
Brewton-Parker College,Yes,1436,1228,86,1202,98,10,26,1320,822,4371,2370,500,7241,2000,62,62,12.6,10,4900,18
Briar Cliff College,Yes,392,351,90,155,44,16,44,738,430,10260,3597,600,14457,1500,39,66,13.1,26,8355,58
Bridgewater College,Yes,838,673,80,292,43,22,53,881,55,10265,4725,560,15550,875,68,73,13.2,24,8655,82
Brigham Young University at Provo,Yes,7365,5402,73,4615,85,48,82,27378,1253,2340,3580,860,6780,1220,76,76,20.5,40,7916,33
Brown University,Yes,12586,3239,26,1462,45,87,95,5643,349,19528,5926,720,26174,1100,99,100,7.6,39,20440,97
Bryn Mawr College,Yes,1465,810,55,313,39,71,95,1088,16,18165,6750,500,25415,1200,100,100,12.3,49,17449,89
Bucknell University,Yes,6548,3813,58,862,23,49,85,3316,31,18550,4750,800,24100,1200,95,97,14.2,36,13675,93
Buena Vista College,Yes,860,688,80,285,41,32,70,1928,442,13306,3797,450,17553,950,62,69,8.8,10,6333,78
Butler University,Yes,2362,2037,86,700,34,40,68,2607,148,13130,4650,500,18280,1600,77,81,10.9,29,9511,83
Cabrini College,Yes,599,494,82,224,45,8,28,1035,446,10518,6250,300,17068,300,59,76,16.5,36,7117,71
Caldwell College,Yes,1011,604,60,213,35,17,42,693,868,8900,4600,425,13925,1000,87,96,13.9,25,7922,55
California Lutheran University,Yes,563,247,44,247,100,23,52,1427,432,12950,5300,612,18862,576,72,74,12.4,17,8985,60
California Polytechnic-San Luis,No,7811,3817,49,1650,43,47,73,12911,1404,7380,4877,612,12869,2091,72,81,19.8,13,8453,59
California State University at Fresno,No,4540,3294,73,1483,45,5,60,13494,1254,7706,4368,600,12674,1926,90,90,21.2,8,7268,61
Calvin College,Yes,1784,1512,85,913,60,29,56,3401,136,10230,3710,400,14340,1210,75,81,14.8,41,7786,81
Campbell University,Yes,2087,1339,64,657,49,20,54,3191,1204,7550,2790,600,10940,500,77,77,21.8,34,3739,63
Campbellsville College,Yes,848,587,69,298,51,25,55,935,184,6060,3070,600,9730,1300,62,66,17.7,13,5391,49
Canisius College,Yes,2853,2193,77,753,34,16,34,2978,434,10750,5340,400,16490,1130,90,92,14.6,26,7972,64
Capital University,Yes,1747,1382,79,449,32,34,66,1662,960,13050,4000,500,17550,800,64,69,12.1,27,9557,83
Capitol College,Yes,100,90,90,35,39,10,52,282,331,8400,2812,300,11512,2134,10,50,12.1,24,7976,52
Carleton College,Yes,2694,1579,59,489,31,75,93,1870,12,19292,3957,550,23799,550,81,93,10.4,60,17960,91
Carnegie Mellon University,Yes,8728,5201,60,1191,23,60,89,4265,291,17900,5690,450,24040,1250,86,93,9.2,31,24386,74
Carroll College,Yes,1160,991,85,352,36,19,55,1357,737,12200,3880,480,16560,930,74,81,17.8,25,7666,79
Carson-Newman College,Yes,1096,951,87,464,49,27,62,1776,239,8150,3150,400,11700,500,61,62,13.6,16,6716,67
Carthage College,Yes,1616,1427,88,434,30,20,43,1405,580,13125,3775,500,17400,1300,74,89,15.9,22,7364,62
Case Western Reserve University,Yes,3877,3156,81,713,23,71,93,3051,513,15700,4730,525,20955,1460,95,95,2.9,29,19733,67
